frequency,fan_speed,context-switch,cpu-migration,page_fault,cycles,pc1,pc2,instructions,branches,branch-misses,cacher,io,lid,cache-misses,Second,core_2,core_3,core_4,core_1
1596000,2436,2,0,0,1595120400,814766181,285950246,1669586683,286969336,11567060,7365559,1,729443651,672337,8,55,55,54,57
1596000,2436,2,0,1,1594747390,819104574,280093738,1724272407,296321533,10431934,7714597,0,731707901,677528,9,55,55,54,57
1596000,2436,6,0,156,1595299821,815791122,282698364,1684803721,296044021,11105428,6844356,0,722499258,792239,10,55,55,54,57
1862000,2436,2,0,1052,1862795366,987512297,349776409,1969063145,340259391,11768160,8637914,1,831778873,854902,1,55,56,54,57
1862000,2436,2,0,396,1861612091,951161866,356509481,1968084365,335582004,12738134,6749773,0,823783492,980752,2,56,56,54,58
1862000,2436,2,0,1098,1861516082,972523305,340629190,1943891269,338056565,11025108,8910924,1,856550715,811388,3,56,55,54,58
1862000,2436,4,0,604,1861518261,1003900712,353555477,1910766606,340391100,11563478,8111307,0,829231648,1118397,4,56,55,54,58
1862000,2436,2,0,469,1861149708,976436073,351445850,1949537598,340054751,11504445,11740836,0,847216620,631200,5,55,55,54,58
1862000,2445,2,0,594,1861780721,991817064,372395043,1939433389,331857087,12287966,8487932,0,816195779,965429,6,55,55,54,58
1862000,2445,2,0,7,1860983275,964872238,351755132,1933667830,337498214,12984472,8858838,0,838242768,696833,7,56,55,54,58
1862000,2445,4,0,1030,1861579682,975334929,387803991,1840117812,318927400,12543886,8407582,1,834089102,933235,8,56,55,54,58
1862000,2445,2,0,534,1861210609,994789870,376974649,1884795540,322956924,12288266,8295809,0,809082416,1157263,9,56,55,54,58
1862000,2436,2,0,104,1862233637,987059448,366483145,1922395101,331773851,11753292,9507984,2,832765971,837686,10,55,55,54,57
3060000,2436,2,0,153,3270147150,1753352527,679386479,3391758324,593838370,19913732,14262411,5422,1390255271,1771785,1,55,55,54,57
3060000,2436,4,0,774,3241751626,1719582984,703958531,3271947677,563211402,20860930,13216707,3130,1390017525,1884619,2,62,59,58,68
3060000,2436,2,0,6571,3260547477,1867612108,748650892,3276923889,563520404,17182517,13904737,5129,1463118316,2675226,3,62,59,58,68
3060000,2436,2,0,2248,3222730665,1789980071,671326419,3295804406,563139891,15353580,13021528,2272,1431219406,3259435,4,60,63,58,70
3060000,2436,2,0,6692,3263333189,1935472083,852651405,3101013142,553026885,14698001,15993837,4867,1468847778,4731629,5,60,63,58,70
3060000,2436,4,0,2715,3238489495,1886534018,848933197,3068871370,506615053,18064416,19202435,3188,1350600696,3897553,6,60,61,59,70
3060000,2436,2,0,432,3233233891,1870088068,622935852,3225690796,607556041,13903097,12077048,3255,1380637375,2255496,7,60,61,59,70
3060000,2445,2,0,0,3250976988,1800749632,711977354,3286863332,539709769,18738299,13892369,4162,1360964800,2328957,8,62,61,60,71
3060000,2445,2,0,0,3259012264,1731333864,687111420,3339107252,573796403,20399887,14993713,4829,1396429861,1373465,9,62,61,60,71
3060000,2445,4,0,0,3241446257,1809613298,811135280,3101247626,529895442,22267981,12562141,4030,1305768582,2446292,10,64,62,60,71
2926000,2445,2,0,0,2928144862,1544711934,630266602,2993191540,512918219,19030965,11780821,35,1240598520,1508797,1,64,62,60,71
2926000,2436,2,0,0,2926799756,1579028162,638177141,2882739598,506966279,20770209,11424036,1,1245535481,1795833,2,61,62,60,67
2926000,2436,2,0,324,2925850294,1554905358,655031519,2939782185,503818690,19948611,12549139,0,1230267814,1659777,3,61,62,60,67
2926000,2445,4,0,804,2926928337,1572601448,662933760,2855417039,497329268,20479352,13191263,1,1200966227,1922805,4,61,60,61,66
2926000,2445,2,0,905,2926258510,1605522767,689700336,2784426406,485583086,19814653,11942614,2,1202952058,1871740,5,61,60,61,66
2926000,2436,2,0,328,2926717721,1589337981,636843220,2900558178,512924428,19686042,10757727,2,1248863135,1743908,6,62,62,59,67
2926000,2436,2,0,403,2925930317,1600937011,652284946,2968135952,522519412,18745183,10265836,1,1224857699,1976711,7,62,62,59,67
2926000,2436,6,0,881,2926837640,1616353448,695159857,2846649307,495403793,19744543,11001115,1,1183854657,2280586,8,66,60,59,66
2926000,2436,2,0,523,2926060273,1631894170,722729975,2773152479,482966713,20259991,12072316,0,1202358417,2098441,9,66,60,59,66
2926000,2436,4,0,2741,2926879625,1591361787,690068448,2785688685,481864457,18969154,12574778,5,1221687432,2139329,10,61,61,61,66
2660000,2436,2,0,7853,2661813170,1409545087,418360084,3168422711,547900427,12548297,8417160,19,1322158771,1758709,1,60,59,58,64
2660000,2445,4,0,5116,2660316154,1495955564,624935565,2660762488,446907039,13855158,17874845,0,1171055165,3032180,2,60,59,58,64
2660000,2445,2,0,1647,2659774276,1478190027,513670561,2842681144,507933236,10571017,9241626,2,1214734775,2477235,3,62,59,60,65
2660000,2445,2,0,9,2660594459,1445604387,547802469,2875100780,500884820,13570588,10321019,1,1320355972,1542320,4,62,59,60,65
2660000,2445,2,0,26,2660187708,1503590284,577668913,2634966706,462801800,14685088,13915605,2,1124629491,1734664,5,59,59,57,64
2660000,2436,4,0,0,2660637386,1462042865,555424175,2707195883,480515353,16027752,9971248,1,1161772317,1489006,6,59,59,57,64
2660000,2436,2,0,0,2660033088,1440724644,540304952,2717334244,481438019,16485775,11558415,2,1201143995,1384220,7,59,59,59,64
2660000,2436,2,0,539,2661485199,1495192397,607674944,2721819001,467789687,13745283,13585433,1,1201130390,2149001,8,59,59,57,64
2660000,2436,2,0,1854,2660123056,1508454663,611410446,2582043471,445776375,14866636,15941405,17,1104699420,2408946,9,59,59,57,64
2660000,2436,4,0,4,2661495261,1554026834,509636408,2657828177,492226783,13303005,7800215,2,1064552145,1154641,10,59,58,57,63
2394000,2436,2,0,19,2396144451,1299962475,447964018,2710026947,476497960,9104582,8305963,16,1228318745,1391485,1,59,58,57,63
2394000,2436,2,0,0,2394590497,1332068170,535395155,2400395340,389461476,13282038,19208711,1,1024788428,1682673,2,59,58,57,61
2394000,2436,2,0,3528,2393353880,1374340915,570604423,2315880865,403713027,10405677,10029804,0,993516536,3428552,3,59,58,57,61
2394000,2445,4,0,2761,2394685000,1332262176,397244308,3021063211,513458499,5486080,5420768,1,1396099740,2283782,4,59,59,58,61
2394000,2445,2,0,3984,2393139588,1425549705,579702203,2114545668,357457095,10575112,13493144,0,963376759,3841092,5,59,59,58,61
2394000,2445,2,0,863,2394666062,1426663755,528851763,2126961788,429041168,12749051,18660929,0,898211173,2179158,6,58,57,57,61
2394000,2445,2,0,0,2393428195,1343024842,504258760,2358901985,369955073,10313189,21090952,0,1025154728,1901482,7,58,57,57,61
2394000,2436,4,0,2285,2394258355,1399950966,588601200,2251140995,376288485,11168056,21071446,1,976163947,4486498,8,58,58,57,62
2394000,2436,2,0,152,2393789626,1484449080,407747300,2388509407,483776155,5022388,8610782,0,1052823743,1333608,9,58,58,57,62
2394000,2454,2,0,33,2394508358,1325103697,566196800,2417917885,414718499,12850821,9495348,0,1041383303,2563322,10,58,58,58,61
2128000,2454,2,0,0,2129376736,1175037933,437740916,2193301030,385101131,11341563,8425335,1,938628031,1596535,1,58,57,56,60
2128000,2445,4,0,0,2127359877,1186213150,478810734,2175833272,357484022,11751384,11118418,1,938332982,1895933,2,58,57,56,60
2128000,2445,2,0,2,2127218562,1201510105,375467951,2286583020,410490225,8392488,5800099,0,1036040550,1594116,3,58,57,57,59
2128000,2445,2,0,1,2127247321,1192826295,448464148,2149958520,380613999,10686834,21475654,0,996709760,1921488,4,58,57,57,59
2128000,2445,2,0,1,2127158892,1203433709,417120120,2155155845,380362723,10205892,14794119,0,893763412,1821532,5,58,57,58,60
2128000,2445,4,0,2,2127699075,1205617751,461778629,2113436352,363484872,10455190,7305833,1,905369444,2882122,6,58,57,58,60
2128000,2445,2,0,0,2127184651,1160137514,412874615,2263472359,390624594,11073071,9165469,0,1010289389,1759623,7,57,60,56,61
2128000,2445,2,0,0,2127936838,1172541682,423188811,2312865710,418218658,9394204,15827252,0,1047706569,744084,8,57,56,56,60
2128000,2445,0,0,0,2127081689,1200691750,423915473,2095984529,377468727,11869229,17334367,1,897031532,1586207,9,57,56,56,60
2128000,2436,4,0,0,2127555010,1112009755,399086943,2326160122,404430643,12015221,9832138,0,1067527271,1186946,10,58,57,57,60
1596000,2436,2,0,1107,1595921106,897806297,312639126,1818912768,291252064,6630020,4167847,1,796611705,2501362,1,58,57,57,60
